priority,subregion,arrival_time,assigned_time,reach_patient,finish_onsite,reach_hospital,finish,waiting_time,total_time
0.0,1.0,0.0,0.0,1.3592092150571073,4.214695259127959,6.317938863516902,8.786593060382286,0.0,8.786593060382286
0.0,5.0,14.940899006195103,14.940899006195103,18.064998508708463,21.717908032123457,26.508674201303485,29.055281212677123,0.0,14.11438220648202
0.0,1.0,20.732816270123323,20.732816270123323,23.66309581789902,31.517918358207275,36.114864572649644,38.637210422893126,0.0,17.904394152769804
1.0,1.0,20.982025217125873,20.982025217125873,23.236849231932307,26.14672560502415,28.401549619830586,30.87232657439558,0.0,9.890301357269706
0.0,4.0,26.327794261293587,26.327794261293587,27.818005747547108,36.69428117790616,39.53998226334159,42.08781730997358,0.0,15.760023048679994
0.0,4.0,32.41709908644654,32.41709908644654,36.1238631272723,44.461949456841396,48.168713497667156,50.50482830697355,0.0,18.08772922052701
1.0,4.0,38.66404956566607,38.66404956566607,40.86321064901734,45.20596143832239,46.849566966118104,49.315175169010374,0.0,10.651125603344305
0.0,3.0,40.678529686829215,40.678529686829215,42.78067977999486,55.1651557690305,57.8228614177517,60.31238913802371,0.0,19.633859451194496
0.0,5.0,42.52624776190457,42.52624776190457,45.8940481183248,63.25300418433279,66.62080454075301,69.08004827195292,0.0,26.553800510048347
0.0,4.0,43.002129733779924,43.002129733779924,46.50235401201471,47.2257605318074,49.05931814337552,51.54685538671313,0.0,8.54472565293321
0.0,3.0,45.12612708508227,45.12612708508227,47.25713374209002,58.74962867875006,59.213968669091145,61.595019795046966,0.0,16.4688927099647
0.0,1.0,47.58025509735677,50.50482830697355,55.49110060044874,83.7429540682714,86.50700413952437,89.01756956452316,2.9245732096167814,41.43731446716639
0.0,3.0,47.79521417610953,49.315175169010374,52.28743596519746,75.89447577092636,78.86673656711345,81.2750911766722,1.5199609929008417,33.479877000562674
0.0,2.0,50.626818967427,51.54685538671313,56.30456995081835,69.05812913862758,72.0503842171257,74.4868008071042,0.9200364192861343,23.859981839677204
0.0,0.0,59.98487662588995,60.31238913802371,63.56548448674294,76.5562372625642,79.80933261128342,82.11430278375774,0.3275125121337581,22.129426157867783
0.0,2.0,63.87285087268484,63.87285087268484,65.90537009774864,76.27851526403926,77.98409642873885,80.37505262872773,0.0,16.502201756042886
0.0,3.0,78.32816534415969,78.32816534415969,79.1259455731779,90.43443248926131,92.3744861028706,94.93916141416186,0.0,16.610996070002173
0.0,5.0,84.81182684215523,84.81182684215523,86.63278785847403,88.94156084804197,91.44456445243156,93.94552061184065,0.0,9.133693769685422
0.0,5.0,87.82773639978934,87.82773639978934,91.03092372333896,99.62177860060802,102.26941036860208,104.52053720558415,0.0,16.692800805794803
0.0,4.0,91.16288736038942,91.16288736038942,96.83484109324134,118.80448524532306,122.80977231150831,125.27897285672597,0.0,34.11608549633655
0.0,0.0,102.04877763786519,102.04877763786519,105.045178149248,108.3430692269859,111.33946973836872,113.77451875327243,0.0,11.725741115407246
0.0,4.0,114.9885176947454,114.9885176947454,116.75281386235476,170.09271275550918,173.5236755897852,175.9882665971237,0.0,60.9997489023783
0.0,0.0,115.52963742496688,115.52963742496688,119.65758215121592,124.67820564791653,128.0557431165855,130.3927515557936,0.0,14.86311413082673
1.0,0.0,131.57985469052355,131.57985469052355,132.71159125017505,152.35081341907932,152.8857435260945,155.1926197851842,0.0,23.61276509466066
1.0,0.0,142.81298438381353,142.81298438381353,146.22787109855528,154.69864613364732,158.11353284838907,160.42473712206754,0.0,17.61175273825401
0.0,4.0,157.43038424094857,157.43038424094857,161.84785116807913,169.94519462829334,173.80710599986836,176.18589335773626,0.0,18.755509116787692
1.0,0.0,158.93581992596907,158.93581992596907,160.27991141356287,181.51859544300316,184.52935359726362,186.85034949450224,0.0,27.91452956853317
0.0,4.0,160.74311445870458,160.74311445870458,165.53134831622526,172.102452409057,174.66846404435546,177.0862075587601,0.0,16.343093100055512
1.0,1.0,163.14405002903754,163.14405002903754,163.3440252804947,176.33348271823417,178.20012463635797,180.68223232735184,0.0,17.538182298314297
1.0,4.0,166.2135380800484,166.2135380800484,169.26877948424362,170.17512434890384,173.23036575309905,175.6992058686174,0.0,9.485667788569003
1.0,0.0,166.68143454295137,175.6992058686174,180.69980978530262,211.98137823621045,214.75975993067345,217.19435766738505,9.017771325666047,50.512923124433684
0.0,5.0,173.69115560524924,176.18589335773626,179.5281318860281,185.03500080206646,188.3772393303583,190.55379120030545,2.4947377524870262,16.86263559505622
0.0,2.0,175.3209976650372,175.9882665971237,177.93566545258005,185.95222653048685,187.8996253859432,190.35075420248438,0.6672689320865004,15.029756537447184
0.0,0.0,176.39347823731146,177.0862075587601,182.83132017323842,209.0186358246783,212.54152621693441,214.92672184888454,0.6927293214486383,38.533243611573084
0.0,4.0,183.1993134913438,183.1993134913438,188.73767734286355,193.38984961159997,195.03932457423085,197.56241930214935,0.0,14.363105810805564
0.0,1.0,190.6581623918757,190.6581623918757,194.8765274393314,217.958380534539,221.24066513059242,223.65307697617078,0.0,32.99491458429509
0.0,4.0,190.935267188461,197.56241930214935,198.98655503981516,220.14019394035188,221.56432967801769,223.99197838300614,6.627152113688339,33.05671119454513
