priority,subregion,arrival_time,assigned_time,reach_patient,finish_onsite,reach_hospital,finish,waiting_time,total_time
1.0,0.0,0.0,0.0,2.9170261835558065,4.283502612232747,8.867195462455221,11.311925492688237,0.0,11.311925492688237
0.0,2.0,7.6599481644566065,7.6599481644566065,8.703517857307393,26.209124066657687,27.387776596029124,29.764723458777375,0.0,22.104775294320767
0.0,5.0,13.49573976787357,13.49573976787357,14.37203687899258,18.931002159452618,21.256312444340118,23.824159521333222,0.0,10.328419753459652
0.0,0.0,14.932597685342667,14.932597685342667,16.50152366414203,23.44183738499533,24.813233971718926,27.345670724092734,0.0,12.413073038750067
0.0,2.0,17.82282821969119,17.82282821969119,20.70351867054537,23.630467227969433,27.066713234379172,29.621607338108607,0.0,11.798779118417418
0.0,3.0,18.182362609194257,18.182362609194257,20.186196518611258,71.37013230683252,73.92952177180507,76.26840145601723,0.0,58.08603884682297
0.0,5.0,21.009370370050053,21.009370370050053,23.96469995661645,51.00278700490061,53.48793897951831,55.71254341379405,0.0,34.703173043744
0.0,5.0,24.149068320328198,27.345670724092734,34.338975913141134,41.74560633258582,46.516689299412,48.99389189380042,3.196602403764537,24.844823573472226
1.0,5.0,25.78070456408105,25.78070456408105,28.788965828492223,58.13407604386543,62.80900397494327,65.31374191099094,0.0,39.53303734690989
0.0,0.0,32.66630531738771,32.66630531738771,35.32580583130255,43.86057132021391,46.52007183412875,48.9319384358996,0.0,16.265633118511893
0.0,1.0,35.71130182584955,35.71130182584955,43.87231864444935,58.9397801585759,63.211908088286805,65.65849613300588,0.0,29.94719430715633
0.0,2.0,37.77501852840059,48.9319384358996,51.771251201246145,76.88686632551665,79.7261790908632,82.22101770962853,11.156919907499017,44.44599918122794
1.0,0.0,41.6986384462895,48.99389189380042,54.274074231741636,60.28093496078297,63.33889507650196,65.74806265411895,7.295253447510923,24.049424207829453
0.0,0.0,57.37612834815497,65.31374191099094,68.2043081370547,68.63712896677188,69.30547297061342,71.57254076872793,7.9376135628359705,14.196412420572962
0.0,1.0,60.910803974292484,60.910803974292484,63.35120888027193,65.30860381987753,67.00881148762255,69.39906903022117,0.0,8.488265055928686
0.0,1.0,67.51579588858992,67.51579588858992,71.12540230069827,79.32832897455702,82.38237983110982,84.63777390167057,0.0,17.12197801308065
0.0,2.0,71.7070113827573,71.7070113827573,76.16327975933332,76.76095551998235,79.63465043294491,82.10617207897768,0.0,10.399160696220378
0.0,0.0,71.73415940190436,71.73415940190436,78.69867658945005,86.81071823008423,91.55301319540769,93.91855048079647,0.0,22.184391078892105
1.0,0.0,86.09701577893549,86.09701577893549,90.01348320932426,119.93990067327007,123.85636810365885,126.24194135261337,0.0,40.14492557367788
1.0,1.0,86.98375821542317,86.98375821542317,90.13346662147305,101.98626810627891,106.80264317899545,109.14041742657012,0.0,22.15665921114696
1.0,3.0,89.45166515973365,89.45166515973365,92.45652799316815,94.97350352980921,98.32298586070473,100.77461119490869,0.0,11.322946035175036
1.0,3.0,93.88438330475992,93.88438330475992,98.06974201383558,98.42031186868859,100.93900391109757,103.28014510544074,0.0,9.395761800680816
0.0,1.0,108.88143829713877,108.88143829713877,111.00231930509007,113.5192161301617,115.08454158255745,117.5671756167397,0.0,8.685737319600932
1.0,3.0,112.65223868027675,112.65223868027675,114.16336701659606,118.21207585571153,118.92316974161444,121.32911059185645,0.0,8.676871911579696
0.0,0.0,117.5976971217592,117.5976971217592,123.08824210480932,129.8221164826803,134.75710591017486,137.18722174400415,0.0,19.58952462224495
0.0,5.0,122.55903091306642,122.55903091306642,125.60099486260236,125.81777686731292,130.52640748351553,132.8555130199428,0.0,10.296482106876383
0.0,2.0,125.18987052674443,125.18987052674443,126.96333473092663,128.40376749118374,130.7327872509215,133.21368317936174,0.0,8.023812652617309
0.0,5.0,127.07069937992739,127.07069937992739,129.9307564888335,133.3073252468281,135.61182680017865,137.99426609610458,0.0,10.923566716177191
0.0,4.0,131.2781541726977,131.2781541726977,133.82421601861864,139.08161744926463,141.62767929518557,144.14356500531903,0.0,12.865410832621336
0.0,5.0,131.48184355501056,131.48184355501056,134.1203080418084,138.83837747225996,141.47684195905782,143.99604463427215,0.0,12.514201079261596
0.0,2.0,135.15100948794748,135.15100948794748,138.462879333335,140.1720915357995,143.65998253092778,146.01502983561727,0.0,10.864020347669793
0.0,5.0,139.3837310462166,139.3837310462166,141.389277858325,143.00221841451074,146.67443189328577,148.94533872144106,0.0,9.561607675224451
1.0,3.0,143.03481967430164,143.03481967430164,145.3215252168791,171.86631416078512,174.70857525891813,177.1730361030543,0.0,34.138216428752656
0.0,4.0,144.7475133918241,144.7475133918241,147.06075689760604,149.01604200743947,152.99595217988806,155.33311992476405,0.0,10.585606532939948
1.0,0.0,149.65580121229902,149.65580121229902,152.26585698255218,163.6153600354077,166.22541580566084,168.6678576537714,0.0,19.012056441472367
1.0,4.0,150.76775774270746,150.76775774270746,155.2634885023135,159.74031513171354,163.68049033576403,166.06387127898748,0.0,15.296113536280018
1.0,3.0,151.2163011487018,151.2163011487018,152.51491600548954,164.38201222572894,167.43892580028967,169.9619313678089,0.0,18.745630219107085
1.0,1.0,153.7492335639415,153.7492335639415,158.18403034546037,164.83401986754097,168.7132610935043,171.12451891226416,0.0,17.375285348322677
0.0,2.0,155.3656801265884,168.6678576537714,172.31461651538675,195.7735011156004,199.42025997721575,201.92748407168105,13.302177527183005,46.56180394509266
0.0,3.0,156.17398264937034,166.06387127898748,168.1903653849066,178.7423742218762,180.86886832779533,183.34688552514532,9.889888629617133,27.17290287577498
0.0,2.0,163.45350029792425,163.45350029792425,166.2320402790227,189.9107051217163,191.02105402950673,193.4477399895192,0.0,29.99423969159494
0.0,2.0,165.517981821489,169.9619313678089,172.03186525338856,194.8391412437327,196.90907512931238,199.32949834227145,4.443949546319885,33.81151652078245
1.0,5.0,169.1792044610659,177.1730361030543,182.31432302082698,184.9917784684649,187.91084316401535,190.41150864986716,7.9938316419884075,21.232304188801265
0.0,0.0,170.44174259201688,171.12451891226416,173.49956227304625,186.46184070333976,188.83688406412185,191.22616852836333,0.6827763202472852,20.78442593634645
1.0,4.0,172.02390042863817,183.34688552514532,186.63835409863455,200.82985180821493,204.12132038170415,206.52539402536402,11.322985096507153,34.50149359672585
0.0,4.0,174.63219904370914,190.41150864986716,193.80870651970832,203.49320261740834,206.8904004872495,209.31470737319194,15.779309606158023,34.6825083294828
0.0,1.0,182.81444109276757,191.22616852836333,193.5252369846046,194.1996264214229,196.49869487766415,199.0130476594464,8.411727435595765,16.198606566678848
1.0,4.0,186.20066535110786,199.32949834227145,203.843763462993,209.01325744786348,211.3053003463628,213.72053018581815,13.128832991163591,27.51986483471029
0.0,3.0,187.0627397484917,193.4477399895192,196.76813335586957,209.12283054743082,212.4432239137812,214.96378461581025,6.385000241027484,27.901044867318546
0.0,2.0,188.48477658447536,199.0130476594464,202.22079145257263,204.8555135389169,208.06325733204312,210.518243309967,10.528271074971059,22.03346672549165
0.0,2.0,203.71610371301134,206.52539402536402,210.41544444769673,220.4945011309282,224.28780988347046,226.74156223149123,2.8092903123526867,23.025458518479894
0.0,5.0,207.38490544133634,207.38490544133634,212.47813283998042,218.32650901940121,221.19751419582306,223.56610108472879,0.0,16.181195643392442
1.0,3.0,208.27577499221036,209.31470737319194,212.53992369984118,227.49315460108033,228.72256028639322,231.2700553625162,1.0389323809815778,22.99428037030583
1.0,2.0,214.40878411196994,214.40878411196994,217.42207913924523,222.18353118073412,224.85174590372785,227.400743882999,0.0,12.991959771029059
0.0,2.0,217.69500015937447,217.69500015937447,221.17293662925698,227.6299909643466,230.09850624812634,232.44858179770915,0.0,14.75358163833468
0.0,3.0,232.01264406280782,232.01264406280782,233.90473559001165,241.46929172729614,242.88290740103844,245.30465896468903,0.0,13.292014901881203
1.0,3.0,232.2617437490286,232.2617437490286,233.90165424282296,241.37463815208687,243.57010420143678,245.98864641623484,0.0,13.726902667206247
0.0,2.0,237.79223833610973,237.79223833610973,239.63678693567562,258.91081280799233,260.7130438745018,263.08709470907195,0.0,25.294856372962215
0.0,5.0,242.91213790390637,242.91213790390637,246.77829902158265,247.89061400558305,250.28797671940356,252.81202167904027,0.0,9.899883775133901
0.0,2.0,246.9021553645762,246.9021553645762,247.59365301702593,268.19684274368666,269.44389595169196,271.9416298237495,0.0,25.039474459173306
0.0,0.0,252.84668709958862,252.84668709958862,255.56079041015843,282.48428162384374,284.9394056820901,287.26103903155547,0.0,34.41435193196685
0.0,1.0,254.9150646323675,254.9150646323675,255.6339028286471,269.89806228656545,271.55414639294196,274.02510849423703,0.0,19.110043861869542
0.0,4.0,255.32508625278254,255.32508625278254,257.065916581183,257.55755355258145,260.96505054764856,263.3682125263759,0.0,8.043126273593344
0.0,0.0,256.25122426169435,256.25122426169435,262.1518728701906,277.52501656132756,279.53677628093493,281.97176336682327,0.0,25.72053910512892
1.0,0.0,269.5077452320249,269.5077452320249,275.7032750021041,284.01579458236205,288.54465768577455,290.92744324781285,0.0,21.419698015787958
1.0,4.0,273.54227501567465,273.54227501567465,278.0238210571833,282.7996261279202,285.0589499472066,287.5779570175259,0.0,14.035682001851228
0.0,0.0,275.9046833451658,275.9046833451658,277.6874688052713,280.32250008190437,283.7719522086765,286.323477148655,0.0,10.418793803489223
0.0,4.0,278.0187345682821,278.0187345682821,284.0656095386572,294.7441815970807,296.90216767856685,299.297513102113,0.0,21.27877853383086
0.0,5.0,294.12707254540925,294.12707254540925,296.60793048862826,301.6303420282332,305.77786663811884,308.32856041874896,0.0,14.201487873339715
0.0,0.0,296.31249463500865,296.31249463500865,298.78915939667615,308.7931661261855,312.93649755451963,315.3678602369348,0.0,19.055365601926155
1.0,0.0,300.50839665966214,300.50839665966214,303.7423705945759,305.2909159762522,308.524889911166,310.89251211949255,0.0,10.384115459830412
0.0,1.0,302.90039557604246,302.90039557604246,306.87076614785406,310.7789150624214,314.749285634233,316.96050001816764,0.0,14.06010444212518
1.0,4.0,313.1074370946579,313.1074370946579,313.9212517159904,316.45826507899574,318.93874636699496,321.26762896673415,0.0,8.160191872076268
0.0,5.0,315.117975035427,315.117975035427,316.5923392915538,327.31738074335203,330.4584116661455,332.9569192044966,0.0,17.838944169069634
1.0,1.0,315.98376821040597,315.98376821040597,318.0311228654835,333.5203017347346,337.2343230564788,339.62236926128924,0.0,23.638601050883267
0.0,4.0,316.8142449432272,316.8142449432272,319.7834099469852,328.7248771637032,329.88956770981065,332.3854801927873,0.0,15.571235249560118
1.0,5.0,317.3930350421445,317.3930350421445,323.9767606579162,331.49244474700015,334.187281473883,336.6884493981159,0.0,19.29541435597139
