priority,subregion,arrival_time,assigned_time,reach_patient,finish_onsite,reach_hospital,finish,waiting_time,total_time
0.0,2.0,0.0,0.0,2.008542252366133,16.10774691956573,20.227710544562804,22.58003498449975,0.0,22.58003498449975
0.0,1.0,4.606177287844227,4.606177287844227,6.020394867992632,21.998810172664164,25.07969441947924,27.557045650954276,0.0,22.950868363110047
1.0,4.0,6.919491095759066,6.919491095759066,8.240454914152249,9.934296476997929,12.712966952765449,15.167432302265311,0.0,8.247941206506244
0.0,1.0,8.490171189450635,8.490171189450635,12.976867350496617,23.68242561914149,28.169121780187474,30.686637450378996,0.0,22.19646626092836
0.0,2.0,26.538416251990622,26.538416251990622,27.16962431181493,29.190701012582956,30.78171517498087,33.32360823903766,0.0,6.785191987047039
1.0,5.0,28.986674692061897,28.986674692061897,31.65639475042997,46.895849326871854,51.2322360519066,53.74582958398618,0.0,24.759154891924283
1.0,0.0,29.402988700223762,29.402988700223762,30.721123136593963,44.35292918425674,47.092808832762316,49.57057013070329,0.0,20.167581430479526
0.0,3.0,32.353795270955736,32.353795270955736,34.34932790121687,40.928867805539234,42.424370696834686,44.928383685262986,0.0,12.57458841430725
0.0,5.0,35.53116106880235,35.53116106880235,37.29870292350178,37.93255637311358,38.65512018910168,40.92129488228685,0.0,5.390133813484503
0.0,2.0,38.27593165197145,38.27593165197145,39.76672317600008,40.9309951680645,43.85087377626994,46.08640270621548,0.0,7.810471054244033
1.0,0.0,41.41269505198258,41.41269505198258,47.01762524224187,48.40068123098101,51.783389199018075,54.19421948793325,0.0,12.781524435950672
0.0,0.0,42.871587736687076,42.871587736687076,48.080711408736136,51.688032859055696,55.23048986443809,57.56708107321079,0.0,14.695493336523711
0.0,5.0,43.6207931225883,44.928383685262986,48.97227852594837,52.29339178306051,54.11506440152367,56.48495386894882,1.307590562674683,12.864160746360518
0.0,1.0,48.93829760504378,48.93829760504378,54.16026841968769,60.9849211740974,63.98466976651909,66.48301558896243,0.0,17.544717983918652
0.0,5.0,54.10971570442294,54.10971570442294,59.24663575886865,73.13097720122225,74.37900836677908,76.79671419388188,0.0,22.686998489458944
