,totalCalls,utilization,expectNJobs,expectNQueue,expectedWaiting,expectedTotal,totalComplete,totalAssigned,totalUnreachable,rateUnreachable,expectReach,totalHigh,totalCompleteHigh,totalAssignedHigh,expectReachHigh,totalUnreachableHigh,expectWaitingHigh,expectTotalHigh,rateUnreachableHigh,totalLow,totalCompleteLow,totalAssignedLow,expectReachLow,totalUnreachableLow,expectWaitingLow,expectTotalLow,rateUnreachableLow
0,5120,0.8528995533374335,7.278141770163757,2.160744450139157,8.6935896117037,28.69285911294963,5110,5115,1629,0.3181640625,11.73839969820847,1258,1254,1257,12.306562243636373,412,9.224349782132204,30.1777892965672,0.3275039745627981,3862,3856,3858,11.553282974620373,1217,8.520982440096505,28.209948726472334,0.31512169860176076
1,5045,0.8421542572107926,6.993504702851928,1.940579159587172,7.954880665516798,27.981125900699844,5036,5041,1532,0.30366699702675914,11.02055306810333,1269,1268,1268,11.085636845161838,376,8.027975593318226,27.93988744300116,0.2962962962962963,3776,3768,3773,10.998680227045766,1156,7.930282903188716,27.995003385933895,0.3061440677966102
2,5027,0.8217259451420155,6.318067134054475,1.387711463202383,5.796928032570752,25.345647449970222,5022,5026,1264,0.2514422120549035,8.865368762097912,1267,1265,1267,9.144990656250288,323,5.9762838321856355,25.937488728671365,0.2549329123914759,3760,3757,3759,8.771219475396608,941,5.736538070762705,25.146371640133395,0.2502659574468085
3,4885,0.8185714100224315,6.782695937282657,1.8712674771480686,7.894955074857259,28.010144454906673,4879,4884,1412,0.28904810644831114,10.9114832431679,1249,1247,1248,11.068969655781409,347,8.036160119928782,28.792085248637235,0.277822257806245,3636,3632,3636,10.857370305243755,1065,7.846474157675488,27.74167524516493,0.2929042904290429
4,5028,0.8435215229004424,6.9469260408649705,1.8857969034623168,7.740733735302769,27.868070435282938,5025,5027,1486,0.29554494828957834,10.813748228937644,1241,1240,1241,11.240521733714106,367,8.192430478191808,27.95584052017054,0.29572925060435135,3787,3785,3786,10.674007234503312,1119,7.592753824818647,27.839316167050278,0.29548455241616056
5,5097,0.8534164393709499,6.963114639839492,1.8426160036137924,7.475413141298712,27.541361001375837,5091,5096,1554,0.3048852266038846,10.558054102115486,1290,1289,1290,10.276681287479954,406,7.2156511081146775,27.790457589449097,0.3147286821705426,3807,3802,3806,10.653397136231545,1148,7.563480805889512,27.456909264914383,0.30154977672708166
6,5066,0.8379578132351139,6.842188175966403,1.8144412965557202,7.417827783389432,27.226462688311546,5064,5065,1463,0.28878799842084485,10.474819028765442,1255,1255,1255,10.860433715274972,352,7.78661283974769,27.35325981689092,0.2804780876494024,3811,3809,3810,10.347832297836693,1111,7.29631944898943,27.184685214862576,0.29152453424298086
7,4965,0.8359131902268532,7.051670666364862,2.036191525003743,8.465846069540728,28.661605986140124,4957,4961,1468,0.29566968781470293,11.523675180604013,1222,1221,1221,11.353190978609618,355,8.283581786168684,28.419265387453414,0.2905073649754501,3743,3736,3740,11.579318380453024,1113,8.525413706049632,28.74080777173876,0.2973550627838632
8,5118,0.851649529073125,6.814377863255929,1.704480688817179,6.8950098962642015,26.84936668339269,5108,5113,1481,0.28937084798749513,9.96897173170118,1289,1284,1285,9.585013918379008,357,6.459267729353075,26.633670384949983,0.2769588828549263,3829,3824,3828,10.097726454162833,1124,7.041320812141263,26.921791904940925,0.2935492295638548
9,5072,0.8508698441829529,7.180315139175048,2.0750960740773308,8.412544046131263,28.543298482726957,5062,5067,1508,0.2973186119873817,11.495862330450212,1274,1270,1273,10.62696491248262,370,7.489606015775967,27.40422159750002,0.2904238618524333,3798,3792,3794,11.787403293305445,1138,8.721650401234434,28.92479311464631,0.2996313849394418
