,totalCalls,utilization,expectNJobs,expectNQueue,expectedWaiting,expectedTotal,totalComplete,totalAssigned,totalUnreachable,rateUnreachable,expectReach,totalHigh,totalCompleteHigh,totalAssignedHigh,expectReachHigh,totalUnreachableHigh,expectWaitingHigh,expectTotalHigh,rateUnreachableHigh,totalLow,totalCompleteLow,totalAssignedLow,expectReachLow,totalUnreachableLow,expectWaitingLow,expectTotalLow,rateUnreachableLow
0,5048,0.8527598277654853,7.67506120453961,2.5585022379466973,10.406084242820649,30.695145048555716,5036,5041,1507,0.2985340729001585,13.401257672780309,1294,1286,1290,12.373776329168487,382,9.439017411647555,29.57712571846532,0.29520865533230295,3754,3750,3751,13.75452284688992,1125,10.73772369479094,31.078551144154712,0.2996803409696324
1,4988,0.8402449887282547,6.824032059653821,1.7825621272842924,7.3921987837308505,27.64504220730839,4967,4972,1363,0.27325581395348836,10.453453663686394,1257,1249,1249,10.994144032432185,334,7.900942941076474,27.47587108781959,0.2657120127287192,3731,3718,3723,10.271916472998177,1029,7.2212946813842445,27.701872419315254,0.275797373358349
2,5047,0.8326151635569697,6.588746770420108,1.593055789078289,6.564941017096426,26.336061698332344,5043,5046,1281,0.2538141470180305,9.617364687143636,1274,1274,1274,9.35872892223347,311,6.33866061414815,26.16066774739784,0.24411302982731553,3773,3769,3772,9.70471939671298,970,6.641428476198603,26.395348483551384,0.2570898489265836
3,5176,0.865276189436034,7.7270802741535425,2.5354231375373386,10.001987869821058,30.081475546103913,5162,5167,1659,0.3205177743431221,13.062621311975231,1260,1258,1259,13.835920051415362,423,10.750166488025885,30.47625073362081,0.3357142857142857,3916,3904,3908,12.813559374662585,1236,9.760899575327802,29.954265713650976,0.31562819203268644
4,4992,0.8264544796419128,6.629723634757352,1.6709967569058757,6.840123385766597,26.722693670712367,4977,4982,1375,0.2754407051282051,9.845327804849312,1242,1236,1239,10.036167752498983,348,6.950295386746705,26.614896137999196,0.28019323671497587,3750,3741,3743,9.782224211048486,1027,6.8037233341196,26.758309214800434,0.27386666666666665
5,5205,0.8691011323411232,7.331417213255341,2.116810419208601,8.381077693542661,28.421078299749222,5198,5203,1614,0.3100864553314121,11.443551214102774,1304,1301,1304,10.632873814323188,395,7.645285786537825,28.472122251364073,0.3029141104294479,3901,3897,3899,11.714608478029078,1219,8.626719282204014,28.40403745267431,0.3124839784670597
6,5061,0.8479914260134915,7.053418972727862,1.965470416646912,8.015435405058449,28.10448118449758,5055,5059,1486,0.2936178620825924,11.046046279921004,1232,1231,1232,11.171223821622958,364,8.086778321034096,28.46237739049073,0.29545454545454547,3829,3824,3827,11.00579195551267,1122,7.9924691054857435,27.989269304377927,0.29302689997388354
7,5085,0.8445057077934915,7.296254394263543,2.229220147502594,9.034404530244986,28.94081958568539,5082,5084,1555,0.3058013765978368,12.050098439883811,1261,1261,1261,12.630052349440152,382,9.555695862187008,29.830153425648785,0.302934179222839,3824,3821,3823,11.858803153472474,1173,8.862368840745146,28.647323126069093,0.3067468619246862
8,4961,0.8189485353174636,6.517244146377125,1.6035529344723438,6.715691430704193,26.49947156850244,4957,4960,1252,0.25236847409796415,9.749113618364982,1213,1211,1213,9.97735082239342,310,6.909786070505879,26.77679563014325,0.25556471558120364,3748,3746,3747,9.675227381779314,942,6.652944872028312,26.409818755195705,0.2513340448239061
9,5026,0.8448898042931964,7.146777703316899,2.077438877557721,8.523767509700605,28.7006565254977,5015,5019,1455,0.28949462793473935,11.580366856347805,1266,1265,1266,12.543605257523541,379,9.473730900030144,29.363997507359688,0.29936808846761453,3760,3750,3753,11.25543751558349,1076,8.203313192696108,28.476889500949586,0.28617021276595744
